Предприятия;1 декада апреля;2 декада апреля;3 декада апреля;1 декада мая;2 декада мая;3 декада мая;1 декада июня;2 декада июня;3 декада июня;1 декада июля;2 декада июля;3 декада июля;1 декада августа;3 декада августа;1 декада сентября;2 декада сентября;3 декада сентября;1 декада октября;2 декада октября;3 декада октября;1 декада ноября;2 декада ноября;3 декада ноября;1 декада декабря;2 декада декабря;3 декада декабря;1 декада января
Завод № 363;0;0;0;0;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 370;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0;0;0;0;1,5;0,3;0,35;0,35;0,35;0,3;0,3;0,4;0;0,25;0,3
НИИ 49;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0;0,05;0
СЗП Электромор­треста;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
СМТ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,07;0,15
Трест № 16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0,4;0,3;0,1;0;0,04;0,12
ЭМТ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,35;0,35;0,35;0,3;0,15;0,2;0;0;0,05
ЛОВСУ;0,2;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2 й стройтрест;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;0,1;0,1;0,07;0,1
ГАИ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0,5;0,5;0,5;0,1;0,4;0,5
ГУПО НКВД;15;15;15;15;15;15;15;15;15;15;15;15;10;10;8;7;7;7;8,4;8,4;8,4;11;10;9;8,5;6;7
ДорНИИ;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ИТК№ 1 НКВД;0;0,25;0,25;0,2;0;0;0;0;0;0;0,15;0,15;0;0;0;0;0;0;1,2;0;0,4;0,45;0,4;0,5;0,4;0,4;0,5
НКВД ЛОВСО;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0;0,2;0,2;0,2;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15;0,15;0,1;0,15
Обл. управ. РК милиции;0;0;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;0;0;0;0;0,2;0,2;0,2;0,15;0,1;0,1;0,1
Спецторг;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0,3;0,3;0,3;0,3;0,3;0,35;0,35;0,35;0,35;0,2;0,35;0,3;0,25;0,3
УИТЛК;0,7;0,8;1;1,5;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0,7;0,9
УНКВД;3;4;4,5;3;9;9;9;9;8,5;8,5;8,5;8,5;5;5;4;4;4;4;4,8;4,8;4,8;4,75;4,75;4,5;4,3;3;4
УОПО НКВД;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;1;1;1;0,5;1;1;1;0;1;1,2;1,2;1,2;1,2;1,2;1;1;0,7;0,8
"Управление технического 
снабжения НКВД";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,15
УРК Милиции;3;3;3;3;4;4;4;4;4;5;5;5;3;3,3;3;3;3,2;3,2;3,8;3,8;3,6;3,6;3,6;3,5;3,5;3;3,5
ХОЗО НКВД;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
